PerfectFlite SLCF
Firmware: 1.0
Software: 1.16
Serial Number: 3810
Apogee: 5608' AGL
Ground Elevation: 288' MSL
NumSamps: 2328
Flight Number: 5
Main Setting: 500' AGL
Apogee Delay: 2 Seconds
Drogue At: 20.80 Seconds
Main At: 85.50 Seconds
Max Drogue Current: 0 Amps
Max Main Current: 0 Amps
Comments: 

Data: (Time, Altitude, Velocity, Temperature (F), Voltage)
25.15, 5300, -61, 45.39, 8.20
25.20, 5252, -53, 45.37, 8.20
25.25, 5237, -45, 45.37, 8.20
25.30, 5256, -41, 45.37, 8.20
25.35, 5285, -42, 45.36, 8.20
25.40, 5299, -47, 45.34, 8.20
25.45, 5296, -52, 45.34, 8.20
25.50, 5287, -57, 45.32, 8.20
25.55, 5290, -62, 45.28, 8.20
25.60, 5288, -65, 45.28, 8.20
25.65, 5290, -67, 45.28, 8.20
25.70, 5285, -65, 45.28, 8.20
25.75, 5258, -59, 45.34, 8.20
25.80, 5231, -50, 45.34, 8.20
25.85, 5225, -44, 45.34, 8.20
25.90, 5225, -42, 45.34, 8.20
25.95, 5224, -49, 45.34, 8.20
26.00, 5230, -61, 45.32, 8.20
26.05, 5238, -70, 45.32, 8.20
26.10, 5234, -73, 45.28, 8.20
26.15, 5245, -70, 45.28, 8.20
26.20, 5252, -63, 45.32, 8.20
26.25, 5253, -61, 45.32, 8.20
26.30, 5252, -63, 45.34, 8.20
26.35, 5226, -70, 45.34, 8.20
26.40, 5224, -76, 45.28, 8.20
26.45, 5237, -79, 45.32, 8.20
26.50, 5250, -77, 45.32, 8.20
26.55, 5241, -72, 45.28, 8.20
26.60, 5229, -68, 45.28, 8.20
26.65, 5224, -64, 45.28, 8.20
26.70, 5214, -62, 45.28, 8.20
26.75, 5204, -59, 45.27, 8.20
26.80, 5201, -56, 45.27, 8.20
26.85, 5208, -54, 45.27, 8.20
26.90, 5194, -54, 45.28, 8.20
26.95, 5178, -56, 45.28, 8.20
27.00, 5179, -61, 45.28, 8.20
27.05, 5172, -67, 45.28, 8.20
27.10, 5157, -73, 45.28, 8.20
27.15, 5151, -79, 45.28, 8.20
27.20, 5144, -84, 45.28, 8.20
27.25, 5151, -88, 45.28, 8.20
27.30, 5146, -92, 45.28, 8.20
27.35, 5129, -95, 45.28, 8.20
27.40, 5122, -96, 45.28, 8.20
27.45, 5122, -96, 45.28, 8.20
27.50, 5156, -93, 45.25, 8.20
27.55, 5181, -88, 45.25, 8.20
27.60, 5163, -82, 45.25, 8.20
27.65, 5150, -77, 45.28, 8.20
27.70, 5137, -75, 45.28, 8.20
27.75, 5130, -74, 45.32, 8.20
27.80, 5130, -74, 45.32, 8.20
27.85, 5125, -76, 45.32, 8.20
27.90, 5128, -76, 45.28, 8.20
27.95, 5112, -77, 45.28, 8.20
28.00, 5100, -76, 45.28, 8.20
28.05, 5094, -72, 45.32, 8.20
28.10, 5088, -70, 45.32, 8.20
28.15, 5085, -68, 45.28, 8.20
28.20, 5085, -67, 45.28, 8.20
28.25, 5064, -67, 45.28, 8.20
28.30, 5042, -67, 45.28, 8.20
28.35, 5035, -66, 45.28, 8.20
28.40, 5043, -68, 45.28, 8.20
28.45, 5052, -73, 45.27, 8.20
28.50, 5066, -79, 45.25, 8.20
28.55, 5075, -86, 45.25, 8.20
28.60, 5087, -91, 45.25, 8.20
28.65, 5083, -93, 45.25, 8.20
28.70, 5050, -92, 45.25, 8.20
28.75, 5053, -90, 45.25, 8.20
28.80, 5051, -89, 45.25, 8.20
28.85, 5082, -89, 45.25, 8.20
28.90, 5009, -89, 45.25, 8.20
28.95, 4990, -88, 45.25, 8.20
29.00, 5048, -87, 45.23, 8.20
29.05, 5040, -86, 45.23, 8.20
29.10, 5023, -86, 45.21, 8.20
29.15, 5006, -85, 45.23, 8.20
29.20, 5017, -83, 45.23, 8.20
29.25, 5005, -79, 45.23, 8.20
29.30, 5021, -76, 45.23, 8.20
29.35, 4996, -75, 45.23, 8.20
29.40, 4991, -76, 45.23, 8.20
29.45, 4999, -82, 45.23, 8.20
29.50, 5001, -90, 45.21, 8.20
29.55, 4989, -97, 45.21, 8.20
29.60, 4948, -103, 45.21, 8.20
29.65, 4948, -106, 45.19, 8.20
29.70, 4968, -106, 45.16, 8.20
29.75, 4970, -105, 45.18, 8.20
29.80, 4947, -101, 45.19, 8.20
29.85, 4943, -99, 45.19, 8.20
29.90, 4937, -96, 45.19, 8.20
29.95, 4939, -95, 45.19, 8.20
30.00, 4926, -97, 45.19, 8.20
30.05, 4921, -97, 45.21, 8.20
30.10, 4918, -97, 45.19, 8.20
30.15, 4912, -98, 45.21, 8.20
30.20, 4907, -99, 45.19, 8.20
30.25, 4904, -100, 45.19, 8.20
30.30, 4900, -104, 45.19, 8.20
30.35, 4902, -106, 45.16, 8.20
30.40, 4908, -107, 45.16, 8.20
30.45, 4891, -107, 45.16, 8.20
30.50, 4877, -105, 45.16, 8.20
30.55, 4870, -103, 45.18, 8.20
30.60, 4862, -100, 45.19, 8.20
30.65, 4853, -98, 45.19, 8.20
30.70, 4852, -98, 45.19, 8.20
30.75, 4853, -99, 45.19, 8.20
30.80, 4853, -100, 45.19, 8.20
30.85, 4853, -99, 45.19, 8.20
30.90, 4845, -98, 45.19, 8.20
