timestampMs	pressurePa	tempK	accelX	accelY	accelZ	gyroX	gyroY	gyroZ	imuTemp	battV	altitudeM	velocityMS	accelerationMSS	unfiltAlt	flightState	drogueCont	drogueFired	mainCont	mainFired
566905	100612.078125	304.17	-150.418106	-10.903194	-3.045424	0.877985	0.096844	0.042569	302.61	4.02	5.92	27.91	119.22	62.824893	1	0	0	0	0
566915	100553.656250	304.17	-150.825134	-2.035071	-12.038045	0.758792	-0.158569	0.037247	302.69	4.01	6.92	29.97	121.29	67.989173	1	0	0	0	0
566925	100553.656250	304.17	-150.336715	5.425261	1.010353	0.956738	-0.148991	0.062789	302.60	4.01	7.69	31.79	123.12	67.989173	1	0	0	0	0
566935	100592.593750	304.17	-150.212219	-3.404554	19.680337	0.829031	-0.067046	0.050018	302.64	4.01	7.42	32.59	124.76	64.546974	1	0	0	0	0
566945	100576.671875	304.19	-151.035812	-5.185840	10.721235	0.799233	-0.090459	0.043633	302.64	4.01	7.58	33.81	126.33	65.954383	1	0	0	0	0
566955	100573.125000	304.17	-150.001525	6.373364	-0.670376	0.800297	0.006385	0.036183	302.64	4.01	7.79	35.05	127.65	66.267936	1	0	0	0	0
566965	100553.656250	304.17	-149.259323	-0.440533	3.653551	0.770499	-0.041504	0.040440	302.66	4.01	8.39	36.66	128.77	67.989173	1	0	0	0	0
566975	100553.656250	304.17	-149.225799	-4.759673	0.612915	0.777948	-0.045761	0.027669	302.69	4.01	8.85	38.12	129.78	67.989173	1	0	0	0	0
566985	100573.125000	304.17	-149.867446	2.906560	-2.892195	0.750278	-0.102165	0.020220	302.63	4.01	8.78	39.06	130.76	66.267936	1	0	0	0	0
566995	100553.656250	304.17	-152.074905	1.335964	-0.272938	0.698131	-0.098972	0.024477	302.61	4.02	9.16	40.44	131.85	67.989173	1	0	0	0	0
567005	100553.656250	304.17	-147.027923	-4.319139	-0.359130	0.665140	-0.137285	0.012770	302.66	4.02	9.46	41.70	132.36	67.989173	1	0	0	0	0
567015	100553.656250	304.17	-151.509872	0.967257	-3.375824	0.633213	-0.212845	0.006385	302.67	4.02	9.70	42.91	133.25	67.989173	1	0	0	0	0
567025	100573.125000	304.17	-150.231369	1.489193	-4.103661	0.616186	-0.140477	-0.003192	302.67	4.02	9.45	43.65	133.93	66.267936	1	0	0	0	0
567035	100573.125000	304.17	-149.297622	-4.041412	-1.168370	0.603415	-0.222423	-0.011706	302.64	4.02	9.28	44.43	134.46	66.267936	1	0	0	0	0
567045	100553.656250	304.17	-148.354309	-0.134075	-2.121262	0.582131	-0.242643	-0.015963	302.67	4.02	9.58	45.67	134.85	67.989173	1	0	0	0	0
567055	100553.656250	304.17	-147.741394	1.192312	-1.695094	0.560846	-0.225615	-0.020220	302.63	4.02	9.82	46.82	135.15	67.989173	1	0	0	0	0
567065	100553.656250	304.17	-147.449310	-3.696647	1.331176	0.564039	-0.278826	-0.026605	302.67	4.02	10.01	47.92	135.38	67.989173	1	0	0	0	0
567075	100534.171875	304.17	-147.339172	-0.967257	0.205901	0.553397	-0.261799	-0.038312	302.67	4.02	10.59	49.38	135.59	69.712059	1	0	0	0	0
567085	100573.125000	304.17	-147.530700	1.206677	-0.928950	0.525727	-0.270313	-0.043633	302.63	4.02	10.18	49.87	135.79	66.267936	1	0	0	0	0
567095	100550.078125	304.16	-147.109329	-3.045424	1.738190	0.507635	-0.263927	-0.051082	302.66	4.02	10.38	50.94	135.94	68.305549	1	0	0	0	0
567105	100553.656250	304.17	-147.272125	-1.699883	0.402225	0.494864	-0.272441	-0.068110	302.67	4.02	10.46	51.89	136.08	67.989173	1	0	0	0	0
567115	100553.656250	304.17	-146.917785	0.962469	-0.296881	0.460809	-0.289469	-0.076624	302.63	4.02	10.53	52.82	136.18	67.989173	1	0	0	0	0
567125	100534.171875	304.17	-146.769348	-2.226607	1.393425	0.433139	-0.258606	-0.088330	302.61	4.02	11.02	54.14	136.26	69.712059	1	0	0	0	0
567135	100534.171875	304.17	-146.874694	-1.642422	0.076614	0.411855	-0.288405	-0.101101	302.60	4.02	11.39	55.34	136.33	69.712059	1	0	0	0	0
567145	100534.171875	304.17	-147.085388	1.010353	-0.076614	0.385249	-0.285212	-0.109615	302.60	4.02	11.69	56.45	136.42	69.712059	1	0	0	0	0
567155	100534.171875	304.17	-146.893844	-1.795651	0.181959	0.346937	-0.264992	-0.118128	302.67	4.02	11.91	57.49	136.49	69.712059	1	0	0	0	0
567165	100534.171875	304.17	-146.994400	-1.489193	-0.177170	0.319267	-0.301175	-0.124514	302.67	4.02	12.09	58.47	136.56	69.712059	1	0	0	0	0
567175	100495.234375	304.17	-146.664001	0.871489	-0.732625	0.294790	-0.271377	-0.133028	302.60	4.03	13.09	60.23	136.58	73.155883	1	0	0	0	0
567185	100530.609375	304.16	-146.807662	-1.675941	-0.833182	0.251157	-0.282019	-0.142606	302.66	4.01	13.08	61.00	136.62	70.027099	1	0	0	0	0
567195	100514.703125	304.17	-146.759780	-1.599326	-0.536301	0.213909	-0.293726	-0.153248	302.61	4.02	13.42	62.10	136.66	71.433837	1	0	0	0	0
